item_id,carat,cut,color,clarity,depth,table,x,y,z
48240,0.86,Very Good,J,SI2,63.2,61.0,6.05,5.97,3.79
20250,1.51,Fair,G,SI1,65.0,59.0,6.99,7.07,4.57
34895,0.33,Ideal,F,VVS1,61.9,55.0,4.44,4.48,2.76
33899,0.3,Ideal,E,VS2,62.0,55.0,4.31,4.27,2.66
29466,0.32,Ideal,E,VS2,62.0,55.0,4.36,4.38,2.71
38430,0.38,Premium,F,VS2,60.5,59.0,4.72,4.67,2.84
45255,0.52,Good,E,VS2,61.5,61.0,5.16,5.09,3.15
23029,0.33,Ideal,G,SI1,61.3,56.0,4.51,4.46,2.75
24933,2.01,Premium,H,SI1,60.6,59.0,8.23,8.17,4.97
9207,1.07,Very Good,F,SI2,59.4,60.0,6.68,6.75,3.99
24976,2.0,Good,H,SI2,63.6,57.0,8.01,7.97,5.08
8597,0.9,Very Good,F,SI2,61.0,61.0,6.14,6.18,3.76
47066,0.52,Ideal,D,VS2,62.6,56.0,5.11,5.14,3.21
32554,0.32,Ideal,F,VVS2,62.1,55.0,4.37,4.39,2.72
5530,0.91,Premium,H,VS2,59.6,60.0,6.29,6.25,3.74
49599,0.71,Premium,F,SI2,60.2,60.0,5.8,5.77,3.48
33138,0.31,Very Good,G,VVS1,59.9,62.0,4.35,4.37,2.61
36723,0.32,Very Good,G,IF,62.4,55.0,4.4,4.42,2.75
27675,2.48,Very Good,F,SI2,63.4,56.0,8.64,8.55,5.45
6258,0.92,Ideal,E,SI2,62.1,57.0,6.2,6.26,3.87
53863,1.0,Fair,I,SI2,66.8,56.0,6.22,6.12,4.13
35527,0.3,Ideal,D,VVS1,61.9,57.0,4.27,4.29,2.65
15982,1.21,Fair,G,SI1,64.6,60.0,6.69,6.62,4.3
10651,1.01,Premium,H,SI1,62.4,60.0,6.36,6.33,3.96
39800,0.38,Ideal,F,VVS1,62.4,53.0,4.63,4.67,2.9
43842,0.62,Ideal,F,SI2,62.0,58.0,5.44,5.49,3.39
45943,0.59,Very Good,F,VS2,61.8,58.0,5.35,5.4,3.32
