wal_id,Unemployment
3855,8.239
4523,8.513
808,6.551
4538,8.256
5976,7.382
634,
3689,7.489
5484,8.395
2241,6.232
1056,6.262
6098,10.148
3089,8.023
3599,8.445
4993,8.839
4288,6.17
4366,7.852
3155,5.435
910,8.818
3467,7.484
4631,8.951
5175,8.36
5265,6.989
6218,6.906
3366,8.358
5024,8.464
3463,7.527
1289,9.765
1412,7.382
2100,7.866
2060,7.771
5985,7.382
1180,6.56
6160,7.972
4292,8.324
3469,7.484
3731,8.058
1534,6.833
5766,7.508
502,5.644
1812,6.392
3711,7.405
5419,10.926
5304,14.099
2677,7.943
6321,8.743
4442,8.963
5053,8.395
2544,8.304
2658,7.806
5023,8.464
4551,8.09
1507,7.567
2291,6.548
4313,8.099
5834,6.547
2278,6.061
2177,6.868
3392,8.659
899,9.137
2154,6.842
3880,14.099
4100,9.357
4396,7.057
708,5.603
4839,9.575
4409,6.891
1199,6.416
5946,8.257
735,7.092
3395,8.659
2557,8.535
340,7.551
6166,7.972
6001,7.17
3113,7.503
1201,6.416
3908,14.313
4203,8.028
5821,6.589
5896,9.199
894,9.137
6156,8.119
5308,14.099
1745,7.951
2573,8.243
2011,8.185
1874,8.899
4916,8.549
3528,7.082
2852,7.28
46,7.838
102,7.348
6152,8.119
5448,8.464
2146,7.039
184,8.163
506,5.644
2477,9.331
3300,8.211
3489,7.343
1536,6.833
169,8.099
33,7.787
900,9.137
1998,8.667
445,7.896
2151,7.039
3952,12.89
5873,9.524
6028,9.816
1273,5.277
384,7.197
4449,8.963
4078,9.863
4250,7.057
5463,8.36
4794,10.641
5022,8.464
2430,5.527
1657,13.503
6369,8.625
193,8.028
1992,8.684
205,7.931
1360,8.257
4033,10.409
4468,9.137
2249,6.162
4973,8.744
5725,7.541
5322,14.18
5474,8.476
3832,8.253
2569,8.535
5576,6.228
6377,8.625
1715,10.199
704,5.603
362,7.567
4610,9.265
4068,9.966
603,6.496
1184,6.56
4166,8.2
2674,7.943
5954,7.874
974,8.09
4420,6.565
6068,10.581
4009,10.064
5658,4.584
4649,8.442
3060,8.458
330,7.564
1223,6.404
5571,6.623
449,7.896
4677,7.603
5161,8.464
3001,6.17
4972,8.744
4493,8.595
2575,8.35
804,6.551
3563,7.28
6204,7.224
4015,10.16
1601,14.18
3576,8.488
4296,8.324
2741,7.527
3845,8.239
4154,8.324
2829,6.961
6182,7.804
3982,11.627
3499,7.287
1728,8.107
5493,8.395
3424,8.953
5262,6.989
1572,6.034
5547,6.989
1179,6.56
1637,13.736
4494,8.595
626,6.634
4209,7.931
2346,6.866
5944,8.257
2083,7.806
5668,4.42
5042,8.476
5096,7.716
4051,10.524
4410,6.891
3538,6.961
4539,8.256
1914,8.549
6410,8.567
6400,8.424
3052,8.458
5066,8.3
354,7.574
662,6.3
3985,11.627
6374,8.625
42,7.838
88,7.866
2301,6.635
2066,7.658
1247,5.667
6150,8.119
6056,10.398
3504,7.287
4281,6.565
2322,6.885
4804,10.641
5232,8.177
188,8.163
2594,8.185
676,5.943
3814,7.906
4426,6.565
2565,8.535
446,7.896
952,8.513
4160,8.2
3647,7.818
5951,7.874
2333,6.885
4524,8.513
6281,5.407
1222,6.404
5121,6.989
1510,7.567
5753,7.335
2889,8.099
4980,8.876
3808,7.906
1691,11.627
1873,8.899
5996,7.17
5001,8.665
3761,8.021
4047,10.524
343,7.551
3228,4.584
1176,6.442
4460,9.017
467,7.127
1845,5.765
551,4.308
3677,7.467
815,6.132
5607,5.326
3011,8.348
262,6.891
5714,4.156
3949,12.89
6,8.106
1711,10.926
1187,6.56
428,6.034
1012,6.29
2419,5.936
5306,14.099
3468,7.484
1118,5.679
6108,9.653
3352,8.212
407,6.664
6078,10.581
2793,7.274
1439,7.343
937,8.622
2723,8.187
4965,8.744
4268,6.891
6247,6.078
3553,7.139
2447,9.269
4676,7.603
3495,7.287
3422,8.953
929,8.595
2798,7.274
198,8.028
4643,8.687
4596,9.849
2839,7.139
406,6.664
1739,7.951
3024,8.433
6319,8.743
4983,8.876
901,9.137
3273,4.156
4515,8.622
4572,7.557
2753,7.484
538,4.607
230,7.441
5092,7.716
3884,14.18
764,6.858
1961,8.424
697,5.801
5070,8.3
806,6.551
1166,6.442
4308,8.2
3517,7.274
4843,9.575
1602,14.18
1541,6.833
2084,7.806
1068,6.297
5894,9.199
1346,8.744
619,6.768
311,7.346
5898,9.003
6003,6.943
4017,10.16
1120,5.679
5895,9.199
4711,7.147
1257,5.539
1917,8.549
5947,8.257
3269,4.125
2919,8.028
5363,13.736
4756,10.21
2232,6.232
6036,9.816
11,7.808
3727,8.058
5155,8.554
1037,6.433
5755,7.508
3486,7.343
6005,6.943
1759,7.795
2686,7.943
4147,8.324
3763,8.021
5426,10.926
5295,13.975
5936,8.257
3843,8.253
4247,7.057
3481,7.343
5455,8.36
5124,6.989
2546,8.304
2472,9.331
